Code	Description	Information
06AL	ALTAIR	<country>GERMANY</country>
06AM	AMRUMBANK	<country>GERMANY</country><callsign>DIRT</callsign>
06AN	ARKONA BECKEN	<country>GERMANY</country>
06AO	ANDREA	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DNRI</callsign><commissioned>1983-10-01</commissioned><notes>Shipowner: Mike Hilger,  port of registry: Burgstaaken, Germany</notes>
06AP	LIGHT SHIP ELBE 1	<country>GERMANY</country>
06AQ	Polarstern	<title>RV</title><IMO>8013132</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBLK</callsign><commissioned>1982-12-01</commissioned><notes>Icebreaker rV</notes>
06AR	AROS	<country>GERMANY</country>
06AS	JEBSEN SOUTHLAND	<country>GERMANY</country>
06AU	AUGUSTA	<country>GERMANY</country>
06AV	Alexander von Humboldt	<IMO>8626886</IMO><country>GERMANY</country><platformclass>30 Ship</platformclass><callsign>DFAW</callsign><commissioned>1989</commissioned><notes>Barque, Sailing vessel for training.</notes>
06AW	TFL ADAMS	<country>GERMANY</country>
06AX	AXENFELS	<country>GERMANY</country>
06AY	COLUMBUS OREGON	<country>GERMANY</country><callsign>DHJW</callsign><notes>EX. ACT 9-90</notes>
06AZ	VALDIVIA	<country>GERMANY</country>
06B2	BUTT	<country>GERMANY</country><callsign>DRIA</callsign>
06BA	BAUMWALL	<country>GERMANY</country>
06BB	BUNTENSTEIN	<country>GERMANY</country>
06BC	BUCHENSTEIN	<country>GERMANY</country>
06BD	BADENSTEIN	<country>GERMANY</country>
06BE	SONNE	<country>GERMANY</country>
06BF	NORDDEICH	<country>GERMANY</country>
06BG	BOERGEN	<country>GERMANY</country>
06BH	BRUNSHAUSEN	<country>GERMANY</country>
06BI	BISCHOFSTEIN	<country>GERMANY</country>
06BJ	ORIENTAL KNIGHT	<country>GERMANY</country>
06BK	BRITTA KRUEGER	<country>GERMANY</country>
06BL	BLITZ	<country>GERMANY</country>
06BM	BORNHOLM GATT	<country>GERMANY</country>
06BN	BANT	<country>GERMANY</country>
06BO	BORKUMRIFF	<country>GERMANY</country>
06BP	PETRITERM	<country>GERMANY</country>
06BQ	SAXON STAR	<country>GERMANY</country>
06BR	BRUNSKAMP	<country>GERMANY</country>
06BS	BUISE	<country>GERMANY</country>
06BT	BUNTENTOR	<country>GERMANY</country><callsign>ELDC7</callsign>
06BU	BURCHANA	<country>GERMANY</country>
06BV	BAVARIA	<country>GERMANY</country>
06BW	EUROLINER	<country>GERMANY</country>
06BX	SZCZECIN TRADER	<country>GERMANY</country>
06BY	BAYERNSTEIN	<country>GERMANY</country>
06BZ	UBENA	<country>GERMANY</country>
06C1	CARL FR. GAUSS	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBKO</callsign><commissioned>1990-11-15</commissioned><decommissioned>1995-01-23</decommissioned><notes>Survey ship. 463 tonns. Owned by the Federal Ministry of Transport. Follower of C.F. Gauss (07GA) owned by the former SHD Rostock</notes>
06CA	MOSEL	<country>GERMANY</country>
06CB	WISMAR	<country>GERMANY</country>
06CC	COLUMBUS CANTERBURY	<country>GERMANY</country>
06CD	COLUMBUS CANADA	<country>GERMANY</country><previous_name>AVON</previous_name>
06CE	ICEBIRD	<IMO>8403533</IMO><country>GERMANY</country><platformclass>32 Vessel of opportunity</platformclass><callsign>DPIB</callsign><commissioned>1984-10-07</commissioned><decommissioned>1994-06-01</decommissioned><notes>Built as ICEBIRD 06CE for German owners, and German register. Became the Norwegian Polar Bird as a re-supply vessel for the Antarctic. The Polar Bird was chartered for the Australian Antarctic Program until 1994 and occasionally since then. The ship was deleted from Norwegian register by 2003-03-25.</notes>
06CF	CAP FINISTERRE	<country>GERMANY</country><callsign>DACF</callsign>
06CG	COLUMBUS COROMANDEL	<country>GERMANY</country><callsign>DDGY</callsign>
06CH	COLUMBUS FLORIDA	<country>GERMANY</country><callsign>DDFG</callsign>
06CI	Capella	<title>FS</title><IMO>9296949</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBB</callsign><commissioned>2004-01-23</commissioned><notes>BSH general purpose research and survey vessel.</notes>
06CJ	Christiane Bolten	<IMO>6826092</IMO><country>GERMANY</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1975-11-01</commissioned><decommissioned>1977-04-05</decommissioned><notes>German general cargo vessel used as ship of opportunity collecting plankton data for SAHFOS (CPR). Renamed Caribe 1977-05-03 and re-registered in Panama. Broken in 1984-07 as Los Caribes (registered in Trinidad and Tobago).</notes>
06CL	COLUMBUS LOUISIANA	<country>GERMANY</country>
06CM	Rio de la Plata	<IMO>9357951</IMO><country>GERMANY</country><platformclass>32 Vessel of opportunity</platformclass><callsign>DMQN</callsign><commissioned>2008-04-01</commissioned><notes>Container ship. Ship owner Hamburg Süd Hamburg. MMSI 218289000.</notes>
06CN	Cornelia	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DIUE</callsign><commissioned>1959-10-18</commissioned><pennant>SC 32</pennant><notes>Cutter. Port of reg. Buesum, Owner Jan Mexdorf, width 4.82, draught 2.02. Chartered for DYFS by vTI. Built as the SCHELDESTROOM . Previous names include JACOB DOUWE and STYNKE SABINE.</notes><previous_name>STYNKE SABINE</previous_name>
06CO	CORDILLERA	<country>GERMANY</country>
06CR	CORAL ESSBERGER	<country>GERMANY</country><callsign>DIHC</callsign>
06CS	EBERHART ESSERBERGER	<country>GERMANY</country><callsign>DGEE</callsign>
06CT	COLUMBUS VIRGINIA	<country>GERMANY</country>
06CV	COLUMBUS VICTORIA	<country>GERMANY</country>
06CW	COLUMBUS WELLINGTON	<country>GERMANY</country>
06CX	ACT 10	<country>GERMANY</country>
06DA	ANTON DOHRN II	<title>FFS</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBFR</callsign><commissioned>1972-10-17</commissioned><decommissioned>1986-07-30</decommissioned><previous_name>Walther Herwig I</previous_name>
06DB	Damkerort	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DERT</callsign><commissioned>1981-06-01</commissioned><pennant>SC12</pennant><notes>Home port Büsum. Owner Stephan Frentz.</notes><previous_name>BX765</previous_name>
06DE	DEUTSCHLAND	<country>GERMANY</country>
06DF	KARLSBURG	<country>GERMANY</country>
06DG	ERICA BOLTEN	<country>GERMANY</country>
06DH	ATHENE	<country>GERMANY</country>
06DJ	CHARLOTTE	<country>GERMANY</country>
06DK	MEIERWIK	<country>GERMANY</country>
06DL	PAASCHBURG	<country>GERMANY</country>
06DM	OTTO HAHN	<country>GERMANY</country>
06DN	DAGMAR AAEN	<country>GERMANY</country><callsign>DIXX</callsign><notes>1997-04-16</notes>
06DO	Drossel	<title>MS</title><country>GERMANY</country><platformclass>30 Ship</platformclass><callsign>DBDI (ex)</callsign><commissioned>1943-01-01</commissioned><decommissioned>1989-12-31</decommissioned><pennant>MSLB</pennant><notes>FRG. Used to collect German (BFGG) data from 1983. Survey vessel built by Gebr. Wiemann, Brandenburg. Owned by Wasser- und Schifffahrtsamt Emden</notes>
06DR	DRACHE	<country>GERMANY</country>
06E1	ELBE 1	<country>GERMANY</country>
06E2	ELBE 3	<country>GERMANY</country>
06E3	ELBE EXPRESS	<country>GERMANY</country>
06EA	ELBSANDE	<country>GERMANY</country><callsign>DLQK</callsign>
06EB	ELLENBOGEN	<country>GERMANY</country>
06ED	ESSO DEUTSCHLAND	<country>GERMANY</country><callsign>DHED</callsign>
06EE	ESSO EUROPA	<country>GERMANY</country>
06EF	ERZHERZOG FRIEKRICK	<country>GERMANY</country>
06EG	ARGE ELBE	<country>GERMANY</country><notes>FIXED STATION</notes>
06EL	ELBE	<country>GERMANY</country>
06EM	EMS	<country>GERMANY</country><callsign>DBDO</callsign>
06EN	EENDRACHT	<country>GERMANY</country>
06ER	E. ROTH	<country>GERMANY</country>
06ES	ELSFLETH	<country>GERMANY</country>
06EV	EISVOGEL	<country>GERMANY</country><callsign>DLRG</callsign>
06EX	Explora	<IMO>7310868</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DEFG</callsign><commissioned>1973-04-01</commissioned><decommissioned>1986-12-31</decommissioned><notes>Built by Elsflether Werft Nr 383 in Germany for Prakla-Seismos, Hannover..Three expeditions to the Antarctic between 1978-1982.since 1987 as OGS-Explora by OGS Trieste, Italy</notes>
06EZ	Elisabeth Mann Borgese	<title>RV</title><IMO>8521438</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBKR</callsign><commissioned>2011-06-01</commissioned><notes>Multipurpose RV in The Leibniz Institute for Baltic Sea Research, Warnemuende.</notes><previous_name>Schwedeneck</previous_name>
06FD	FRIESLAND	<country>GERMANY</country><callsign>DBPE</callsign>
06FE	FEHMARNBELT	<country>GERMANY</country>
06FI	FRIDTJOF NANSEN	<country>GERMANY</country>
06FK	FRANKFURT	<country>GERMANY</country>
06FL	FLENSBURG	<country>GERMANY</country>
06FM	MORAY FIRTH	<country>GERMANY</country>
06FR	FRANKEN	<country>GERMANY</country>
06G1	Gauss	<title>FS</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBFB</callsign><commissioned>1949-06-12</commissioned><decommissioned>1979-12-20</decommissioned><notes>Survey and research ship, owned by the Federal Ministry of Transport, operated by the German Hydrographic Institute.</notes>
06G2	Gauss	<title>FS</title><IMO>7824883</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBX</callsign><commissioned>1980-05-06</commissioned><decommissioned>2006-11-27</decommissioned><notes>Owned by the Federal Ministry of Transport, Building and Housing and operated by the Federal Maritime and Hydrographic Agencey until 2007-05-02. Lloyds: from 2007-05-03 flag is Gibraltor with name Fugro Gauss and call sign ZDIA4</notes>
06GA	GAUSS	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><notes>Multiple hulls</notes>
06GB	SPARKLING WAVE	<country>GERMANY</country>
06GC	GERBEK	<country>GERMANY</country>
06GD	HUSUM	<country>GERMANY</country>
06GE	SINE IRA	<country>GERMANY</country>
06GF	STERN VON RIO	<country>GERMANY</country>
06GG	NEW LOVE	<country>GERMANY</country>
06GH	OSTEMAAT	<country>GERMANY</country>
06GI	ISAR	<country>GERMANY</country>
06GJ	LA LINDA	<country>GERMANY</country>
06GK	DEVON	<country>GERMANY</country>
06GL	GIGA	<country>GERMANY</country>
06GM	WILLIAM SHAKESPEARE	<country>GERMANY</country>
06GN	NEREUS	<country>GERMANY</country>
06GO	Grinna	<title>RV</title><IMO>7719856</IMO><country>GERMANY</country><platformclass>30 Ship</platformclass><callsign>DGJF2</callsign><commissioned>2009-09-16</commissioned><notes>Same ship as Grinna (LJAB) operated by Kystverket of Norway till end of 2007. Since September 16, 2009 owned by Briese Schiffahrts GmbH &amp; Co. KG in 26789 Leer, Displacement 237 tons, speed 10 kn</notes>
06GP	AUDIEK	<country>GERMANY</country>
06GQ	DESIREE	<country>GERMANY</country>
06GR	GERTRUD II	<country>GERMANY</country>
06GS	CARSTEN	<country>GERMANY</country>
06GT	GERTRUD-MARTA	<country>GERMANY</country>
06GU	Gerda-Bianka	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DIJG</callsign><commissioned>1986-01-01</commissioned><pennant>ACC1</pennant><notes>Cutter. Port of reg. Accumer Siel, Owner Tom Caspers, width 5.50, draught 1.90 chartered for DYFS by vTI</notes>
06GZ	GAZELLE	<country>GERMANY</country><callsign>A7D3008</callsign>
06HA	HAHNENTOR	<country>GERMANY</country>
06HB	H. BAUMGARTEN	<country>GERMANY</country>
06HC	HANAU	<country>GERMANY</country>
06HE	HEIDELBERG	<country>GERMANY</country>
06HF	FRIEDRICH HEINCKE	<IMO>7642170</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBFR</callsign><commissioned>1968-06-10</commissioned><decommissioned>1990-05-26</decommissioned><notes>in operation for Biologische Anstalt Helgoland, port of reg: Hamburg,.width: 9m, draught: 3.60m, speed 13 kn</notes>
06HG	HORNGOLF	<country>GERMANY</country>
06HK	HEINCKE	<title>RV</title><IMO>8806113</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBCK</callsign><commissioned>1990</commissioned>
06HM	HAMMONIA	<country>GERMANY</country>
06HN	HANNOVER	<country>GERMANY</country>
06HP	HELICOPTER	<country>GERMANY</country><platformclass>67 Helicopter</platformclass>
06HR	HELGOLAND REEDE	<country>GERMANY</country>
06HS	HERMANN SCHULTE	<country>GERMANY</country><callsign>LATP4</callsign>
06HT	HAITHABU	<IMO>8862686</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBGE</callsign><commissioned>1982</commissioned><notes>Operated by Landesamt für Natur und Umwelt des Landes. Gross tonnage 130.</notes>
06HU	HUNTE	<country>GERMANY</country>
06HW	WALTHER HERWIG	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><notes>Multiple hulls</notes>
06HX	HAMBURG EXPRESS	<country>GERMANY</country><callsign>DHEC</callsign>
06JF	JULIUS FOCK	<country>GERMANY</country>
06JH	J. H. WILHEHNS.	<country>GERMANY</country>
06JM	JOHANNES MULLER	<country>GERMANY</country>
06JR	Clupea	<title>FFK</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBFN</callsign><commissioned>1992-01-01</commissioned><decommissioned>2012-04-26</decommissioned><notes>Originally the Erfurt. Then named Clupea with call sign YARZ in service from 1983-01-10 to 1991-12-31 for IHFRO/DDR. Call sign DBFN since 1992-01-01 for IOR/Germany. Active in August 2007. Previous CallSign YARZ</notes><previous_name>Erfurt</previous_name><previous_callsign>YARZ</previous_callsign>
06JS	Clupea	<title>FFK</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>YARZ</callsign><commissioned>1983-01-10</commissioned><decommissioned>1991-12-31</decommissioned><notes>Originally the Erfurt. Then named Clupea with call sign YARZ for IHFRO/DDR. Call sign DBFN since 1992-01-01 for IOR/Germany. Active in August 2007. Same ship as 06JR.</notes><previous_name>Erfurt</previous_name>
06JW	JAN WELLEM	<country>GERMANY</country>
06JX	DENEB	<IMO>9079470</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBA</callsign><commissioned>1994-11-25</commissioned><pennant>VWFS</pennant><notes>Survey and Research vessel, 969 tons, owned by BSH</notes>
06K1	Komet	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DCWK</callsign><commissioned>1978-03-01</commissioned><notes>Port of registry Dornumer-Accumersiel Germany. FKZ ACC10. Owned by Ralf von Osten 26553 Dornumersiel</notes>
06K2	KOMET	<IMO>6908709</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBG</callsign><commissioned>1969-08-26</commissioned><decommissioned>2000-01-01</decommissioned><notes>Survey and Research vessel. Port of registry Hamburg Germany. Owned by DHI/BSH Hamburg. Named One Eagle, then Amadeus.</notes>
06K3	Komet	<IMO>9162978</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBF</callsign><commissioned>1998-12-04</commissioned><notes>Survey and Research vessel. Port of registry Hamburg Germany. Owned by BSH Hamburg.</notes>
06KA	KATJANA	<country>GERMANY</country>
06KB	KOELN ATLANTIC	<country>GERMANY</country><callsign>DAKE</callsign>
06KF	KAP FARVEL	<country>GERMANY</country><callsign>LCKT</callsign>
06KI	F. S. KIEL	<country>GERMANY</country>
06KL	HELGOLAND	<country>GERMANY</country><callsign>DSFY</callsign>
06KM	KOMET	<country>GERMANY</country><platformclass>31 Research vessel</platformclass>
06KN	Helmsand	<country>GERMANY</country><platformclass>39 Naval vessel</platformclass><callsign>DRMC</callsign><commissioned>1988-03-04</commissioned><pennant>Y862</pennant><notes>MMSI-number: 211212220 Length: 56.5m  beam: 10.8m Institute using ship: Bundeswehr technical center (WTD 71) Eckernförde</notes>
06KO	KOLMAR	<country>GERMANY</country>
06KQ	Gracechurch Comet	<IMO>8919831</IMO><country>GERMANY</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><callsign>DIKD</callsign><commissioned>1991-10-07</commissioned><decommissioned>1996-01-16</decommissioned><notes>Container vessel used as ship of opportunity to collect CPR data for SAHFOS. Originally the German vessel Komet III. Renamed Gracechurch Comet 1991-10-07 before reconverting to Komet III on 1996-01-17. Renamed Portugal Bridge 1996-02-29 before again reverting to Komet III on 1997-01-30. Re-registered in the UK 2003-03-19. Active as at 2007-10. As of 2008-07-03 the Komet III was registered under Antigua &amp; Barbuda flag.</notes><previous_name>Komet III, Portugal Bridge, Gracechurch Comet</previous_name>
06KR	KIRA	<country>GERMANY</country><callsign>DKPO</callsign><notes>1996-09-16</notes>
06KW	W. KORTE	<country>GERMANY</country>
06KY	KYBFELS	<country>GERMANY</country>
06LA	LANGEOOG	<country>GERMANY</country><callsign>DCPE</callsign>
06LB	LILLOOET	<country>GERMANY</country>
06LD	OELAND	<country>GERMANY</country><callsign>DLQN</callsign>
06LE	LEILA	<country>GERMANY</country>
06lf	ROUTE: LIST - BODETSHAFEN	<country>GERMANY</country><notes>1955-1956</notes>
06LI	LINZERTOR	<country>GERMANY</country>
06ll	ROUTE: LIST - ELLENBORGEN	<country>GERMANY</country><notes>1955-1956</notes>
06LO	Ludwig Prandtl	<IMO>8332320</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DAOH</callsign><notes>Operated by Institute for Coastal Research of GKSS Research Centre</notes>
06LT	LITTORINA	<IMO>7360942</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DLMG</callsign><commissioned>1975-06-27</commissioned>
06LU	Mya	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBHV</callsign><commissioned>1978-03-01</commissioned><notes>Owned by AWI, Bremerhaven, operated by F. Laeisz. .Home port List, 50.31 tons, 6.2 kns</notes>
06LW	NAVY SHIP	<country>GERMANY</country>
06M3	METEOR	<IMO>8411279</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBH</callsign><commissioned>1986</commissioned>
06M4	MARIKA	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DBRW</callsign><commissioned>2001-12-15</commissioned><pennant>SAS88</pennant><notes>Port of registry Sassnitz Germany. Length 11.96m.Owned by Eberhard Breese 18545 Sassnitz.</notes>
06M5	METEOR	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DIJM</callsign><commissioned>1971-06-30</commissioned><notes>Port of registry Burgstaaken. FKZ SB3. Owned by Klaus Michael Gieseler.</notes>
06M6	Mya II	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBLC</callsign><commissioned>2013-08-13</commissioned><notes>Owned by AWI, Bremerhaven, operated by F. Laeisz. .Home port List, 120 tons, 10 kns</notes>
06MA	MAX WALDECK	<country>GERMANY</country><callsign>DBLZ</callsign>
06MB	MONTE ROSA	<country>GERMANY</country><callsign>DGLM</callsign>
06ME	METEOR	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><commissioned>1924-11-15</commissioned><decommissioned>1946-11-15</decommissioned><notes>Deutsche Atlantik Expedition 16.4.1925 - 2.6.1927 then 1943-1944 Nord-Norwegen 17.06.1946 DHI, 15.11.1946 to UDSSR by Soviet Navy as Ekvator till 00.11.1968</notes>
06MF	Ramona	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DFNZ</callsign><commissioned>1961-01-01</commissioned><pennant>CUX9</pennant><notes>Port of reg. Cuxhaven, Owner Kai Poit, cutter, width 5.05, draught 1.90.chartered for DYFS by vTI</notes>
06MI	MINSEROOG	<country>GERMANY</country>
06MK	MAKRELE	<country>GERMANY</country>
06MM	MARIA S. MERIAN	<IMO>9274197</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBT</callsign><commissioned>2005</commissioned>
06MN	Maret	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DJIJ</callsign><commissioned>1969-01-01</commissioned><pennant>SC14</pennant><notes>Cutter. Port of Registry Buesum, Owner Rainer Moeller, Width 5.30, draught 2.50. Charters for DYFS by vTI</notes>
06MO	MOWE	<country>GERMANY</country>
06MP	Senckenberg	<IMO>8137213</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DDAW</callsign><notes>Operated by Senckenberg Research Institute and Natural History Museum</notes>
